country,ISO Country code,population,id,surface area (Km2),Score,GINI index,happy planet index,human development index,world happiness report score,sustainable economic development assessment (SEDA),GDP (billions PPP),GDP per capita (PPP),GDP growth(annual %),health expenditure % of GDP,health expenditure per person,education expenditure % of GDP,education expenditure per person ,school life expectancy (YEARS),unemployment (%),government spending score,government expenditure (% of GDP),political rights score ,civil liberties score ,political stability & absence of violence,government effectiveness,regulatory quality,rule of law,control of corruption,judicial effectiveness score,government integrity score,property rights score,tax burden score,overall economic freedom score,financial freedom score,women MPs (% of all MPs)
Chad,TCD,"15,000,000",148,"1,259,200",0.20269631055684395,43.3,12.8,0.404,4.56,20.4,29.0,2445.0,1.8,4.6,100.0,,,7.0,5.8,90.5,17.7,7,6,-1.34,-1.5,-1.2,-1.3,-1.43,24.1,23.1,25.1,44.8,49.3,40.0,12.8
Chile,CHL,"18,000,000",152,"743,812",0.6223505400693237,50.5,31.7,0.843,6.32,62.6,438.8,24113.0,2.1,8.1,1903.0,4.7,699.0,16.0,6.6,81.3,25.0,1,1,0.38,0.9,1.3,1.01,1.04,63.4,61.2,67.9,78.0,75.2,70.0,15.8
China,CHN,"1,386,000,000",156,"9,326,410",0.4926816128522895,46.5,25.7,0.752,5.1,50.8,21291.8,15399.0,6.9,5.3,762.0,,,14.0,4.6,71.6,30.7,7,6,-0.25,0.4,-0.2,-0.26,-0.27,65.4,47.3,46.7,70.4,57.8,20.0,24.2
Colombia,COL,"49,000,000",170,"1,038,700",0.6305217145531301,51.1,40.7,0.843,6.16,49.1,688.8,14130.0,3.1,6.2,853.0,4.7,369.0,14.0,9.9,74.4,29.2,3,3,-0.79,-0.1,0.3,-0.36,-0.37,36.4,33.4,60.7,80.3,68.9,70.0,18.7
Comoros,COM,"800,000",174,"2,235",0.3899415823655937,55.9,23.1,0.752,,,1.3,1529.0,1.0,8.0,121.0,4.9,41.0,11.0,20.0,77.8,27.2,3,4,0.03,-1.6,-1.0,-1.05,-0.68,28.2,27.5,36.7,59.7,56.2,30.0,6.1
Congo (Dem. Rep.),COD,"81,000,000",180,"2,267,048",0.28670330641972386,42.1,,0.457,4.31,24.8,65.0,773.0,7.7,4.3,34.0,,,9.0,3.6,94.8,13.2,7,6,-2.3,-1.6,-1.5,-1.69,-1.42,23.9,27.3,24.1,73.2,52.1,20.0,8.9
Congo (Rep.),COG,"4,500,000",178,"341,500",0.3277843747968615,48.9,18.8,0.606,4.88,32.7,29.8,6676.0,2.5,3.4,203.0,,,11.0,11.2,33.4,47.1,7,5,-0.53,-1.2,-1.3,-1.1,-1.33,28.2,24.6,32.4,60.8,38.9,30.0,11.3
Costa Rica,CRI,"4,900,000",188,"51,060",0.7222785824895184,48.5,44.7,0.794,7.23,58.9,80.7,16436.0,3.7,8.1,1286.0,6.9,729.0,15.0,9.0,88.9,19.3,1,1,0.51,0.3,0.5,0.45,0.47,57.8,51.8,54.8,79.3,65.6,50.0,35.1
Cote d'Ivoire,CIV,"24,000,000",384,"318,003",0.3998488886373452,41.5,14.4,0.794,5.04,30.5,87.8,3609.0,8.6,5.4,190.0,4.6,72.0,9.0,9.3,84.6,22.6,4,4,-1.09,-0.7,-0.4,-0.63,-0.52,44.2,36.6,39.4,76.4,62.0,50.0,10.6
Croatia,HRV,"4,200,000",191,"55,974",0.6747241753577198,30.8,30.2,0.831,5.34,64.5,95.1,22795.0,1.6,7.4,1656.0,,,15.0,13.5,32.5,47.4,1,2,0.75,0.6,0.4,0.33,0.19,56.5,40.5,65.9,66.0,61.0,60.0,18.5
Cuba,CUB,"11,000,000",192,"109,820",0.7061769616026711,,,0.777,,,142.0,12390.0,4.3,,,,,14.0,2.9,0.0,62.4,7,6,0.69,-0.2,-1.3,-0.43,0.27,10.0,38.1,29.7,49.0,31.9,10.0,48.9
Cyprus,CYP,"800,000",196,"9,241",0.7026632028308302,34.8,30.7,0.869,6.06,65.9,29.7,34970.0,1.6,6.8,2137.0,,,15.0,11.7,52.9,39.6,1,1,0.6,0.9,1.0,0.88,0.78,56.7,41.3,71.2,75.2,67.8,60.0,17.9
Czech Republic,CZE,"11,000,000",203,"77,247",0.7364742945525973,,27.3,0.888,6.79,71.1,350.7,33232.0,4.2,7.3,2470.0,,,17.0,4.0,48.6,41.4,1,1,1.02,1.0,1.2,1.12,0.57,57.9,51.1,73.0,82.9,74.2,80.0,20.0
Denmark,DNK,"6,000,000",208,"42,434",0.8704166914799764,29.0,32.7,0.929,7.59,82.0,273.9,47985.0,1.2,10.3,5083.0,,,19.0,6.1,10.6,54.6,1,1,0.87,1.8,1.6,1.86,2.19,83.6,84.1,84.8,41.4,76.6,80.0,37.4
